Item Description,Posting Date,Product_Amount
DOC - COMMERCIAL BROILERS,2021-12-04 00:00:00,10099768.060000001
DOC - COMMERCIAL BROILERS,2022-01-22 00:00:00,8634341.0099999998
DOC - COMMERCIAL BROILERS,2021-12-27 00:00:00,9424676
DOC - COMMERCIAL LAYERS,2022-01-11 00:00:00,908750.01000000001
DOC - COMMERCIAL LAYERS,2022-02-03 00:00:00,2182485
DOC - COMMERCIAL LAYERS,2021-09-13 00:00:00,2433710
DOC - COMMERCIAL BROILERS,2021-11-08 00:00:00,7144764
DOC - COMMERCIAL LAYERS,2021-11-29 00:00:00,2760490.0800000001
DOC - KEN BRO,2021-12-06 00:00:00,184080.01999999999
DOC - COMMERCIAL BROILERS,2021-10-16 00:00:00,8221952.3699999992
DOC - COMMERCIAL BROILERS,2021-10-22 00:00:00,7510924.4199999999
DOC - COMMERCIAL COCKS,2021-11-18 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2021-12-29 00:00:00,681955.08000000007
DOC - KEN BRO,2021-10-18 00:00:00,324975.02000000002
DOC - COMMERCIAL LAYERS,2022-01-17 00:00:00,2738500
DOC - KEN BRO,2022-01-24 00:00:00,509400.01000000001
DOC - COMMERCIAL LAYERS,2021-10-09 00:00:00,5600745.0399999991
DOC - COMMERCIAL LAYERS,2021-12-22 00:00:00,1118820.05
DOC - COMMERCIAL LAYERS,2022-02-09 00:00:00,1218110.04
DOC - COMMERCIAL LAYERS,2022-02-23 00:00:00,1980728.1400000001
DOC - KEN BRO,2022-02-24 00:00:00,1289195.04
DOC - KEN BRO,2021-10-04 00:00:00,561840.01000000001
DOC - KEN BRO,2021-11-22 00:00:00,291000
DOC - COMMERCIAL BROILERS,2021-10-02 00:00:00,5509862.0099999998
DOC - KEN BRO,2022-01-18 00:00:00,1495536.45
DOC - COMMERCIAL LAYERS,2021-11-09 00:00:00,2389800.0599999996
DOC - COMMERCIAL LAYERS,2021-12-28 00:00:00,1494947.1300000001
DOC - COMMERCIAL BROILERS,2021-11-20 00:00:00,6489738.3799999999
DOC - KEN BRO,2021-11-30 00:00:00,867231.58000000007
DOC - COMMERCIAL BROILERS,2022-02-28 00:00:00,7376064.0899999989
DOC - COMMERCIAL BROILERS,2021-10-08 00:00:00,7944961.0999999996
DOC - KEN BRO,2022-01-12 00:00:00,1038879.78
DOC - COMMERCIAL LAYERS,2021-09-27 00:00:00,2451725.0099999998
DOC - COMMERCIAL LAYERS,2021-11-15 00:00:00,1914050
DOC - COMMERCIAL LAYERS,2021-09-28 00:00:00,1944090.0600000001
DOC - KEN BRO,2021-12-21 00:00:00,806701.82999999996
DOC - COMMERCIAL COCKS,2021-09-23 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2021-11-05 00:00:00,1192812.3199999998
DOC - KEN BRO,2021-10-13 00:00:00,1207221.3399999999
DOC - COMMERCIAL LAYERS,2022-02-15 00:00:00,2671747.5899999999
DOC - COMMERCIAL LAYERS,2021-12-14 00:00:00,788430
DOC - KEN BRO,2021-12-15 00:00:00,1045760.14
DOC - KEN BRO,2021-12-27 00:00:00,0
DOC - COMMERCIAL LAYERS,2021-09-11 00:00:00,2630220
DOC - COMMERCIAL BROILERS,2022-01-27 00:00:00,6930708
DOC - COMMERCIAL BROILERS,2022-02-10 00:00:00,8699741.0299999993
DOC - COMMERCIAL BROILERS,2021-09-17 00:00:00,4815291.96
DOC - COMMERCIAL LAYERS,2021-10-15 00:00:00,2843171.1699999999
DOC - COMMERCIAL BROILERS,2021-10-27 00:00:00,4209493.4000000004
DOC - COMMERCIAL BROILERS,2021-11-02 00:00:00,6753870
DOC - COMMERCIAL LAYERS,2021-12-06 00:00:00,1165000.01
DOC - COMMERCIAL LAYERS,2022-01-29 00:00:00,689920.04000000004
DOC - COMMERCIAL BROILERS,2022-02-04 00:00:00,8437470.3999999985
DOC - KEN BRO,2022-02-05 00:00:00,1249300.03
DOC - COMMERCIAL BROILERS,2021-09-11 00:00:00,7435672.0299999993
DOC - COMMERCIAL LAYERS,2021-10-21 00:00:00,5009490.0199999996
DOC - KEN BRO,2021-09-29 00:00:00,2480048.6099999999
DOC - COMMERCIAL LAYERS,2022-01-12 00:00:00,2766583.4699999997
DOC - COMMERCIAL BROILERS,2022-01-21 00:00:00,9436615.4900000002
DOC - KEN BRO,2021-11-17 00:00:00,1266777.8
DOC - COMMERCIAL LAYERS,2022-02-04 00:00:00,3131430.5900000003
DOC - KEN BRO,2021-09-06 00:00:00,326425
DOC - KEN BRO,2021-10-25 00:00:00,299850.09000000008
DOC - COMMERCIAL LAYERS,2021-12-17 00:00:00,1346668.53
DOC - COMMERCIAL LAYERS,2021-12-23 00:00:00,2773000
DOC - COMMERCIAL BROILERS,2022-01-01 00:00:00,1894500
DOC - COMMERCIAL LAYERS,2021-11-24 00:00:00,3270025.0999999996
DOC - COMMERCIAL LAYERS,2021-11-30 00:00:00,2709661.0300000003
DOC - COMMERCIAL BROILERS,2021-12-03 00:00:00,6261740.0700000003
DOC - COMMERCIAL BROILERS,2021-12-09 00:00:00,7847751
DOC - COMMERCIAL LAYERS,2021-11-04 00:00:00,2339475
DOC - KEN BRO,2021-11-11 00:00:00,1590404.46
DOC - COMMERCIAL BROILERS,2021-11-13 00:00:00,6557238.0199999996
DOC - KEN BRO,2022-01-27 00:00:00,763185.01000000001
DOC - COMMERCIAL LAYERS,2021-09-14 00:00:00,2685270.04
DOC - COMMERCIAL BROILERS,2021-09-23 00:00:00,5479224
DOC - KEN BRO,2021-10-19 00:00:00,674700
DOC - KEN BRO,2021-12-07 00:00:00,467700
DOC - COMMERCIAL COCKS,2021-12-09 00:00:00,5.0000000000000003E-2
DOC - KEN BRO,2022-02-19 00:00:00,914175.06000000006
DOC - COMMERCIAL LAYERS,2021-09-22 00:00:00,2643410.2799999998
DOC - COMMERCIAL BROILERS,2021-10-01 00:00:00,6354236.6500000004
DOC - COMMERCIAL LAYERS,2021-10-04 00:00:00,2209285.0599999996
DOC - KEN BRO,2021-10-05 00:00:00,759750
DOC - COMMERCIAL BROILERS,2021-10-13 00:00:00,3867185.9900000002
DOC - COMMERCIAL LAYERS,2022-01-06 00:00:00,2900085.1000000001
DOC - COMMERCIAL BROILERS,2022-01-15 00:00:00,10299003.02
DOC - COMMERCIAL LAYERS,2022-02-24 00:00:00,2108725.02
DOC - COMMERCIAL LAYERS,2021-11-10 00:00:00,1481244.51
DOC - COMMERCIAL BROILERS,2021-11-19 00:00:00,6372280
DOC - KEN BRO,2021-12-01 00:00:00,204075.37
DOC - KEN BRO,2022-01-07 00:00:00,1182418.26
DOC - KEN BRO,2022-01-19 00:00:00,746985.57999999996
DOC - KEN BRO,2022-02-25 00:00:00,893465.09000000008
DOC - COMMERCIAL COCKS,2021-10-07 00:00:00,5.0000000000000003E-2
DOC - COMMERCIAL BROILERS,2022-01-07 00:00:00,7779020.7400000002
DOC - COMMERCIAL BROILERS,2021-11-25 00:00:00,5683951
DOC - KEN BRO,2021-11-25 00:00:00,1163070.03
DOC - KEN BRO,2022-01-13 00:00:00,856645.02000000002
DOC - COMMERCIAL BROILERS,2021-10-07 00:00:00,6912834.0199999996
DOC - COMMERCIAL BROILERS,2021-09-14 00:00:00,5585480.0099999998
DOC - COMMERCIAL LAYERS,2022-02-18 00:00:00,3002605.3300000001
